,file,peak,plato,Ra,Rm+Ra,Rm,tau,Cm,Ih,Cell,Stimulation_Type,VC,Rm_scaled,Cm_scaled
0,2020_02_13_0000,-337.6319275,-42.69101334,29.61805204,234.241336,204.623284,0.308941841,1.509807853,150.21054080000002,1,control,-10,0.1445494176534039,0.5081592160998574
1,2020_02_13_0000,-337.93215939999993,-37.43323135,29.59173823,267.1423128,237.55057459999998,0.33750888700000004,1.4207875,121.27146909999999,1,control,-10,0.26819835009656146,0.4343596828829557
2,2020_02_13_0000,-334.2667542,-40.65335083,29.91622671,245.98218340000003,216.0659567,0.365314752,1.690755719,106.8414459,1,control,-10,0.1875190710281478,0.6581683724036353
3,2020_02_13_0000,-322.5341492,-33.38394165,31.00446891,299.54521560000006,268.5407467,0.317153513,1.181025663,100.4554443,1,control,-10,0.38457299333534434,0.23559264750817
4,2020_02_13_0000,-325.85116580000005,-29.47973251,30.68885752,339.2161037,308.5272461,0.32264608100000003,1.045762037,99.50927734,1,control,-10,0.5347307461554007,0.12345657835524737
5,2020_02_13_0000,-320.98947139999996,-30.11119652,31.15366979,332.1023791,300.9487093,0.33292731600000003,1.106259327,90.50647736,1,control,-10,0.5062717394249416,0.17360996027777864
6,2020_02_13_0000,-326.18240360000004,-30.26491737,30.65769303,330.4155725,299.7578794,0.34303322399999997,1.144367664,87.8026886,1,control,-10,0.5017999215749664,0.20520248252122986
7,2020_02_13_0000,-309.34329219999995,-21.51678658,32.32654546,464.7534131,432.4268676,0.38781905200000005,0.896843098,78.87238312,1,control,-10,1.0000000000000002,0.0
8,2020_02_13_0000,-317.0970764,-36.25908661,31.53608388,275.7929373,244.2568534,0.35061085200000003,1.435418689,67.83554077,1,control,-10,0.29338184376324605,0.44648921149320797
9,2020_02_13_0000,-311.30633539999997,-36.82743454,32.12269993,271.5366988,239.4139989,0.343214959,1.433562618,71.40598297,1,control,-10,0.2751959020112531,0.4449504940111797
10,2020_02_13_0001,-307.6237488,-26.91766357,32.50724315,371.5032686,338.99602539999995,0.386726141,1.140798452,63.86855698,1,control,-10,0.6491474492804119,0.20224353919338034
11,2020_02_13_0001,-305.400116,-42.19713974,32.74392994,236.982887,204.2389571,0.34523245700000005,1.6903359759999999,67.20227814,1,monochromator,-10,0.14310618895076077,0.6578203976267767
12,2020_02_13_0001,-311.1176147,-47.49095917,32.14218523,210.56639359999997,178.4242084,0.327215433,1.833918369,60.80304718,1,monochromator,-10,0.046166353942186156,0.7768528798004404
13,2020_02_13_0001,-311.9952087,-38.07676697,32.05177426,262.6273394,230.5755651,0.37193185100000004,1.613058395,58.05560684,1,monochromator,-10,0.24200571587915998,0.5937558414467834
14,2020_02_13_0001,-317.94366460000003,-45.21635437,31.452112800000002,221.15891780000004,189.706805,0.364700109,1.922440836,63.6639595,1,monochromator,-10,0.08853488774365237,0.850239656235809
15,2020_02_13_0001,-317.0693665,-38.78451157,31.53883994,257.834883,226.29604300000003,0.353331655,1.5613691280000002,66.03831482,1,monochromator,-10,0.225935206299125,0.5509044748955434
16,2020_02_13_0001,-311.4673157,-27.56777,32.10609748,362.7424343,330.63633680000004,0.32184875,0.973422199,60.67237854,1,monochromator,-10,0.6177550525143316,0.06348550323059254
17,2020_02_13_0001,-312.6649475,-38.2364769,31.98311829,261.5303713,229.54725299999998,0.306379795,1.334713402,67.92954254,1,monochromator,-10,0.23814418670179782,0.36300265002030385
18,2020_02_13_0001,-316.37982180000006,-38.34563828,31.60757833,260.7858534,229.178275,0.326706648,1.4255567980000001,68.88890839,1,monochromator,-10,0.23675859636127317,0.4383135198911319
19,2020_02_13_0001,-311.539917,-39.39121246,32.09861547,253.86372680000002,221.7651113,0.330247253,1.489175872,69.75888062,1,monochromator,-10,0.20892060055813932,0.4910549189832194
20,2020_02_13_0001,-309.1216125,-37.98895645,32.34972773,263.2343958,230.8846681,0.35298994200000006,1.528858303,67.82122803,1,monochromator,-10,0.24316646294545452,0.5239523945157185
21,2020_02_13_0001,-306.12261960000006,-37.32084274,32.66664846,267.9467897,235.2801412,0.345219404,1.467269621,68.57083893,1,monochromator,-10,0.259672393026371,0.47289422826643146
22,2020_02_13_0001,-304.59179689999996,-42.8575325,32.83082507,233.33121200000002,200.5003869,0.400578737,1.997895084,72.67481232,1,monochromator,-10,0.1290670680370649,0.9127926353464664
23,2020_02_13_0003,-270.72421260000004,-49.24453354,36.93795949,203.0682247,166.13026519999997,0.292945564,1.76334856,111.04234309999998,1,control,-10,0.0,0.718349191734792
24,2020_02_13_0003,-256.15655519999996,-46.813796999999994,39.03862618,213.6122392,174.573613,0.311447084,1.784044442,113.8338699,1,control,-10,0.031706554735975945,0.7355064639724349
