file,peak,plato,Ra,Rm+Ra,Rm,tau,Cm,Ih,Cell,Stimulation_Type,VC,Rm_scaled,Cm_scaled
2020_02_13_0001,-305.400116,-42.19713974,32.74392994,236.982887,204.2389571,0.345232457,1.690335976,67.20227814,1,monochromator,-10,0.143106189,0.657820398
2020_02_13_0001,-311.1176147,-47.49095917,32.14218523,210.5663936,178.4242084,0.327215433,1.833918369,60.80304718,1,monochromator,-10,0.046166354,0.77685288
2020_02_13_0001,-311.9952087,-38.07676697,32.05177426,262.6273394,230.5755651,0.371931851,1.613058395,58.05560684,1,monochromator,-10,0.242005716,0.593755841
2020_02_13_0001,-317.9436646,-45.21635437,31.4521128,221.1589178,189.706805,0.364700109,1.922440836,63.6639595,1,monochromator,-10,0.088534888,0.850239656
2020_02_13_0001,-317.0693665,-38.78451157,31.53883994,257.834883,226.296043,0.353331655,1.561369128,66.03831482,1,monochromator,-10,0.225935206,0.550904475
2020_02_13_0001,-311.4673157,-27.56777,32.10609748,362.7424343,330.6363368,0.32184875,0.973422199,60.67237854,1,monochromator,-10,0.617755053,0.063485503
2020_02_13_0001,-312.6649475,-38.2364769,31.98311829,261.5303713,229.547253,0.306379795,1.334713402,67.92954254,1,monochromator,-10,0.238144187,0.36300265
2020_02_13_0001,-316.3798218,-38.34563828,31.60757833,260.7858534,229.178275,0.326706648,1.425556798,68.88890839,1,monochromator,-10,0.236758596,0.43831352
2020_02_13_0001,-311.539917,-39.39121246,32.09861547,253.8637268,221.7651113,0.330247253,1.489175872,69.75888062,1,monochromator,-10,0.208920601,0.491054919
2020_02_13_0001,-309.1216125,-37.98895645,32.34972773,263.2343958,230.8846681,0.352989942,1.528858303,67.82122803,1,monochromator,-10,0.243166463,0.523952395
2020_02_13_0001,-306.1226196,-37.32084274,32.66664846,267.9467897,235.2801412,0.345219404,1.467269621,68.57083893,1,monochromator,-10,0.259672393,0.472894228
2020_02_13_0001,-304.5917969,-42.8575325,32.83082507,233.331212,200.5003869,0.400578737,1.997895084,72.67481232,1,monochromator,-10,0.129067068,0.912792635
2020_02_13_0003,-270.7242126,-49.24453354,36.93795949,203.0682247,166.1302652,0.292945564,1.76334856,111.0423431,1,control,-10,0,0.718349192
2020_02_13_0003,-256.1565552,-46.813797,39.03862618,213.6122392,174.573613,0.311447084,1.784044442,113.8338699,1,control,-10,0.031706555,0.735506464
2020_02_13_0003,-255.5238037,-39.01004791,39.1352972,256.3442122,217.208915,0.307739943,1.416792415,97.18120575,1,control,-10,0.191811121,0.431047683
2020_02_13_0003,-243.0891418,-39.85768127,41.13717266,250.8926681,209.7554955,0.354525954,1.690186723,110.9098587,1,control,-10,0.163821956,0.657696664
2020_02_13_0003,-252.447876,-38.3339653,39.6121376,260.8652646,221.253127,0.324809313,1.468043943,97.36668396,1,control,-10,0.206997991,0.473536156
2020_02_13_0003,-251.2377777,-42.49496841,39.80293128,235.3219775,195.5190462,0.316632807,1.619447381,101.8955841,1,control,-10,0.110361081,0.59905243
2020_02_13_0003,-247.2153625,-44.16829681,40.45056058,226.4067379,185.9561773,0.264623612,1.42304287,99.04348755,1,control,-10,0.074450488,0.436229427
2020_02_13_0003,-250.8680267,-41.15644836,39.86159628,242.9752906,203.1136943,0.306025714,1.506671989,96.49515533,1,control,-10,0.138880589,0.505559526
2020_02_13_0003,-246.1002197,-36.61719131,40.63385238,273.0957684,232.4619161,0.316022843,1.359460717,103.7190704,1,control,-10,0.249089362,0.383518636
2020_02_13_0003,-251.7903442,-47.82905197,39.71558175,209.0779471,169.3623654,0.288209289,1.701731602,110.6874847,1,control,-10,0.012137219,0.667267584
2020_02_13_0003,-254.4640961,-45.67453003,39.2982749,218.9404027,179.6421278,0.315822423,1.75806436,103.5326538,1,control,-10,0.050739899,0.713968491
2020_02_13_0003,-247.6818237,-40.20646667,40.37437972,248.7162098,208.3418301,0.321320802,1.542276949,110.6713943,1,control,-10,0.158513344,0.535076702
2020_02_13_0005,-291.1447144,-39.49679947,34.34718031,253.1850716,218.8378913,0.366599113,1.675208579,90.9633255,1,control,-10,0.197928271,0.645279503
2020_02_13_0005,-288.794342,-35.51677704,34.62671716,281.557079,246.9303619,0.361879945,1.465514172,87.85600281,1,control,-10,0.303421433,0.471438928
2020_02_13_0005,-290.4920349,-39.41783905,34.42435178,253.6922429,219.2678911,0.37084648,1.691294052,90.7201004,1,control,-10,0.199543011,0.658614661
2020_02_13_0005,-292.2412415,-35.03911591,34.21830523,285.3953287,251.1770234,0.368869394,1.468563442,93.59694672,1,control,-10,0.319368544,0.47396683
2020_02_13_0005,-287.8001404,-36.29869843,34.74633468,275.4919717,240.745637,0.342482448,1.422590465,92.59487915,1,control,-10,0.280196484,0.435854375
2020_02_13_0005,-291.5038757,-38.86718369,34.30486121,257.2864574,222.9815962,0.364837766,1.636178823,96.96208191,1,control,-10,0.213488758,0.612923108
2020_02_13_0005,-293.1888733,-39.94182587,34.10770637,250.3641179,216.2564115,0.374879956,1.733497535,82.4238739,1,control,-10,0.188234269,0.693602135
2020_02_13_0005,-287.2723389,-37.18081284,34.81017365,268.9559275,234.1457538,0.367801368,1.570822286,92.62676239,1,control,-10,0.255412529,0.558741319
2020_02_13_0005,-283.9679871,-33.33323669,35.21523712,300.0008698,264.7856326,0.332312167,1.255023407,84.94999695,1,control,-10,0.370471747,0.296938158
2020_02_13_0005,-285.638855,-36.19430161,35.00924271,276.2865854,241.2773427,0.315041482,1.305723442,94.35578918,1,control,-10,0.282193152,0.338969432
2020_02_13_0006,-277.8588257,-34.81277466,35.98949926,287.2508755,251.2613763,0.373449624,1.486299363,81.56977081,1,control,-10,0.319685307,0.488670239
2020_02_13_0015,-229.1329346,-11.02818108,43.64278762,906.767846,863.1250584,0.571940005,0.662638628,-18.30356979,2,monochromator,-70,0.465686504,0.487905275
2020_02_13_0015,-227.947113,-10.3597002,43.86982518,965.2788984,921.4090733,0.571995556,0.620783508,-19.36732483,2,monochromator,-70,0.519083084,0.443592679
2020_02_13_0015,-228.819046,-11.3362627,43.70265576,882.124935,838.4222792,0.543957949,0.648787565,-19.59402657,2,monochromator,-70,0.443055189,0.473240962
2020_02_13_0015,-228.9759979,-12.69647408,43.67269972,787.6202433,743.9475436,0.618403494,0.8312461,-19.92536163,2,monochromator,-70,0.356502679,0.666412344
2020_02_13_0015,-227.6018219,-10.93866158,43.9363794,914.1886264,870.252247,0.597344577,0.686403947,-21.29952431,2,monochromator,-70,0.472216039,0.513065948
2020_02_13_0015,-229.8095551,-11.37927818,43.51429164,878.7903626,835.2760709,0.587191999,0.702991525,-17.62695122,2,monochromator,-70,0.440172807,0.530627447
2020_02_13_0015,-229.5410004,-11.05259323,43.56520179,904.7650439,861.1998421,0.596126139,0.69220419,-21.31347466,2,monochromator,-70,0.463922728,0.519206746
2020_02_13_0015,-226.266037,-14.34035301,44.19576236,697.3329033,653.1371409,0.60318923,0.923526151,-26.66364288,2,monochromator,-70,0.273307229,0.764110514
2020_02_13_0015,-227.0402985,-11.20837975,44.04504428,892.1896141,848.1445698,0.599170029,0.706447993,-19.05343056,2,monochromator,-70,0.451962212,0.534286857
2020_02_13_0015,-226.8484802,-12.43489552,44.08228783,804.1885022,760.1062144,0.575698674,0.757392405,-18.63490295,2,monochromator,-70,0.371306357,0.588222413
2020_02_13_0015,-222.6039276,-11.23046875,44.9228372,890.4347826,845.5119454,0.643856764,0.761499311,-19.09528351,2,monochromator,-70,0.449550347,0.592570451
2020_02_13_0015,-222.753891,-8.950659752,44.89259404,1117.236078,1072.343484,0.611714423,0.570446346,-21.26464653,2,monochromator,-70,0.657360813,0.390300027
2020_02_13_0015,-224.2187347,-11.97916603,44.59930617,834.782653,790.1833468,0.574380696,0.726895471,-19.18945122,2,monochromator,-70,0.398861356,0.555934886
2020_02_13_0015,-222.0912323,-10.64220619,45.0265411,939.6547877,894.6282466,0.626956761,0.700801437,-19.85211945,2,monochromator,-70,0.494547976,0.52830877
2020_02_13_0016,-221.7051086,-11.00667286,45.10495974,908.5397675,863.4348077,0.547838807,0.634487748,-18.89546585,2,control,-70,0.465970279,0.458101548
2020_02_13_0016,-218.2413635,-11.17960548,45.82082809,894.4859471,848.665119,0.517917395,0.610272984,-18.08675003,2,control,-70,0.45243911,0.432465041
2020_02_13_0016,-217.6615295,-9.791056633,45.94289134,1021.340227,975.3973352,0.58938992,0.604256234,-19.88728714,2,control,-70,0.568544133,0.426095025
2020_02_13_0016,-219.6705933,-11.39831543,45.52270676,877.3226238,831.7999171,0.58558166,0.70399341,-18.97684479,2,control,-70,0.436988148,0.531688156
